Timepoint,GOID_BiologicalProcess,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
d4,GO:0046633,alpha-beta T cell proliferation,8/354,57/23062,2.44E-06,2.30E-05,1.12E-05,ENSMUSG00000020101/ENSMUSG00000022637/ENSMUSG00000025383/ENSMUSG00000027843/ENSMUSG00000037706/ENSMUSG00000042333/ENSMUSG00000047139/ENSMUSG00000049103,8
d4,GO:0043299,leukocyte degranulation,10/354,97/23062,2.46E-06,2.31E-05,1.12E-05,ENSMUSG00000005413/ENSMUSG00000022488/ENSMUSG00000025867/ENSMUSG00000028874/ENSMUSG00000030347/ENSMUSG00000030748/ENSMUSG00000030805/ENSMUSG00000049103/ENSMUSG00000050732/ENSMUSG00000053158,10
d4,GO:0032677,regulation of interleukin-8 production,9/354,76/23062,2.46E-06,2.31E-05,1.12E-05,ENSMUSG00000004040/ENSMUSG00000016024/ENSMUSG00000020149/ENSMUSG00000024927/ENSMUSG00000027843/ENSMUSG00000028191/ENSMUSG00000028964/ENSMUSG00000033902/ENSMUSG00000051314,9
d4,GO:1905897,regulation of response to endoplasmic reticulum stress,9/354,76/23062,2.46E-06,2.31E-05,1.12E-05,ENSMUSG00000003873/ENSMUSG00000017707/ENSMUSG00000020484/ENSMUSG00000023010/ENSMUSG00000025701/ENSMUSG00000028466/ENSMUSG00000028964/ENSMUSG00000030717/ENSMUSG00000047879,9
d4,GO:0008637,apoptotic mitochondrial changes,11/354,120/23062,2.49E-06,2.33E-05,1.13E-05,ENSMUSG00000003873/ENSMUSG00000021486/ENSMUSG00000027997/ENSMUSG00000031696/ENSMUSG00000047139/ENSMUSG00000052684/ENSMUSG00000057329/ENSMUSG00000059552/ENSMUSG00000063856/ENSMUSG00000064326/ENSMUSG00000115338,11
d4,GO:0044843,cell cycle G1/S phase transition,16/354,258/23062,2.70E-06,2.52E-05,1.22E-05,ENSMUSG00000000902/ENSMUSG00000004266/ENSMUSG00000020349/ENSMUSG00000022018/ENSMUSG00000024002/ENSMUSG00000025809/ENSMUSG00000028156/ENSMUSG00000029580/ENSMUSG00000031446/ENSMUSG00000034165/ENSMUSG00000037935/ENSMUSG00000041324/ENSMUSG00000045983/ENSMUSG00000055204/ENSMUSG00000057329/ENSMUSG00000059552,16
d4,GO:0015833,peptide transport,18/354,321/23062,2.71E-06,2.52E-05,1.22E-05,ENSMUSG00000001847/ENSMUSG00000004655/ENSMUSG00000006611/ENSMUSG00000006740/ENSMUSG00000020149/ENSMUSG00000021109/ENSMUSG00000024913/ENSMUSG00000024990/ENSMUSG00000025701/ENSMUSG00000027204/ENSMUSG00000028029/ENSMUSG00000028964/ENSMUSG00000030805/ENSMUSG00000036504/ENSMUSG00000040249/ENSMUSG00000051314/ENSMUSG00000056054/ENSMUSG00000056071,18
d4,GO:0090596,sensory organ morphogenesis,18/354,321/23062,2.71E-06,2.52E-05,1.22E-05,ENSMUSG00000001751/ENSMUSG00000001847/ENSMUSG00000003873/ENSMUSG00000004040/ENSMUSG00000004655/ENSMUSG00000006932/ENSMUSG00000015619/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000024913/ENSMUSG00000024990/ENSMUSG00000027997/ENSMUSG00000029648/ENSMUSG00000032011/ENSMUSG00000036006/ENSMUSG00000054252/ENSMUSG00000057329/ENSMUSG00000063415,18
d4,GO:0033006,regulation of mast cell activation involved in immune response,7/354,41/23062,2.72E-06,2.52E-05,1.22E-05,ENSMUSG00000004266/ENSMUSG00000005413/ENSMUSG00000028874/ENSMUSG00000030347/ENSMUSG00000030748/ENSMUSG00000050732/ENSMUSG00000053158,7
d4,GO:1904037,positive regulation of epithelial cell apoptotic process,7/354,41/23062,2.72E-06,2.52E-05,1.22E-05,ENSMUSG00000003873/ENSMUSG00000005413/ENSMUSG00000020484/ENSMUSG00000022018/ENSMUSG00000026879/ENSMUSG00000056481/ENSMUSG00000064210,7
d4,GO:0032637,interleukin-8 production,9/354,77/23062,2.75E-06,2.55E-05,1.23E-05,ENSMUSG00000004040/ENSMUSG00000016024/ENSMUSG00000020149/ENSMUSG00000024927/ENSMUSG00000027843/ENSMUSG00000028191/ENSMUSG00000028964/ENSMUSG00000033902/ENSMUSG00000051314,9
d4,GO:0042743,hydrogen peroxide metabolic process,8/354,58/23062,2.80E-06,2.58E-05,1.25E-05,ENSMUSG00000004040/ENSMUSG00000005161/ENSMUSG00000006519/ENSMUSG00000022982/ENSMUSG00000028691/ENSMUSG00000028964/ENSMUSG00000063856/ENSMUSG00000069919,8
d4,GO:0001764,neuron migration,14/354,200/23062,2.81E-06,2.59E-05,1.25E-05,ENSMUSG00000001847/ENSMUSG00000003873/ENSMUSG00000004040/ENSMUSG00000006932/ENSMUSG00000007815/ENSMUSG00000015619/ENSMUSG00000017485/ENSMUSG00000020108/ENSMUSG00000020849/ENSMUSG00000026043/ENSMUSG00000040936/ENSMUSG00000045382/ENSMUSG00000047898/ENSMUSG00000061353,14
d4,GO:0045980,negative regulation of nucleotide metabolic process,6/354,27/23062,2.83E-06,2.60E-05,1.26E-05,ENSMUSG00000004040/ENSMUSG00000018501/ENSMUSG00000020108/ENSMUSG00000026313/ENSMUSG00000030717/ENSMUSG00000059552,6
d4,GO:1904996,positive regulation of leukocyte adhesion to vascular endothelial cell,6/354,27/23062,2.83E-06,2.60E-05,1.26E-05,ENSMUSG00000007815/ENSMUSG00000024927/ENSMUSG00000025701/ENSMUSG00000032035/ENSMUSG00000032038/ENSMUSG00000049103,6
d4,GO:0060759,regulation of response to cytokine stimulus,12/354,147/23062,2.98E-06,2.73E-05,1.32E-05,ENSMUSG00000017837/ENSMUSG00000018160/ENSMUSG00000019471/ENSMUSG00000021109/ENSMUSG00000023992/ENSMUSG00000027639/ENSMUSG00000030341/ENSMUSG00000035692/ENSMUSG00000040025/ENSMUSG00000045382/ENSMUSG00000047139/ENSMUSG00000078945,12
d4,GO:0030003,cellular cation homeostasis,23/354,497/23062,3.06E-06,2.80E-05,1.35E-05,ENSMUSG00000001175/ENSMUSG00000003873/ENSMUSG00000004266/ENSMUSG00000005413/ENSMUSG00000006519/ENSMUSG00000006611/ENSMUSG00000010609/ENSMUSG00000020849/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000023010/ENSMUSG00000026385/ENSMUSG00000026822/ENSMUSG00000028455/ENSMUSG00000030470/ENSMUSG00000032011/ENSMUSG00000032554/ENSMUSG00000032966/ENSMUSG00000039239/ENSMUSG00000042682/ENSMUSG00000049103/ENSMUSG00000057329/ENSMUSG00000059552,23
d4,GO:0042130,negative regulation of T cell proliferation,9/354,78/23062,3.07E-06,2.81E-05,1.36E-05,ENSMUSG00000004266/ENSMUSG00000020101/ENSMUSG00000020612/ENSMUSG00000022637/ENSMUSG00000023915/ENSMUSG00000036006/ENSMUSG00000036594/ENSMUSG00000042333/ENSMUSG00000047139,9
d4,GO:0001678,cellular glucose homeostasis,13/354,174/23062,3.11E-06,2.84E-05,1.37E-05,ENSMUSG00000000902/ENSMUSG00000001847/ENSMUSG00000006740/ENSMUSG00000020349/ENSMUSG00000020484/ENSMUSG00000021109/ENSMUSG00000022708/ENSMUSG00000024913/ENSMUSG00000027962/ENSMUSG00000030805/ENSMUSG00000036504/ENSMUSG00000040249/ENSMUSG00000063856,13
d4,GO:0009636,response to toxic substance,11/354,123/23062,3.18E-06,2.89E-05,1.40E-05,ENSMUSG00000003873/ENSMUSG00000005161/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000026822/ENSMUSG00000028691/ENSMUSG00000028964/ENSMUSG00000030717/ENSMUSG00000037580/ENSMUSG00000057329/ENSMUSG00000063856,11
d4,GO:1900744,regulation of p38MAPK cascade,7/354,42/23062,3.22E-06,2.92E-05,1.41E-05,ENSMUSG00000023992/ENSMUSG00000024190/ENSMUSG00000027358/ENSMUSG00000027843/ENSMUSG00000040936/ENSMUSG00000049103/ENSMUSG00000109324,7
d4,GO:1902624,positive regulation of neutrophil migration,7/354,42/23062,3.22E-06,2.92E-05,1.41E-05,ENSMUSG00000001847/ENSMUSG00000016024/ENSMUSG00000021702/ENSMUSG00000022488/ENSMUSG00000025383/ENSMUSG00000036006/ENSMUSG00000042682,7
d4,GO:0070372,regulation of ERK1 and ERK2 cascade,18/354,325/23062,3.22E-06,2.92E-05,1.41E-05,ENSMUSG00000004266/ENSMUSG00000020484/ENSMUSG00000023992/ENSMUSG00000024190/ENSMUSG00000024621/ENSMUSG00000026193/ENSMUSG00000026321/ENSMUSG00000027358/ENSMUSG00000027843/ENSMUSG00000029163/ENSMUSG00000035373/ENSMUSG00000039844/ENSMUSG00000040249/ENSMUSG00000045382/ENSMUSG00000052684/ENSMUSG00000054252/ENSMUSG00000060803/ENSMUSG00000061353,18
d4,GO:0042552,myelination,13/354,175/23062,3.32E-06,3.00E-05,1.45E-05,ENSMUSG00000005125/ENSMUSG00000006932/ENSMUSG00000022982/ENSMUSG00000023915/ENSMUSG00000025949/ENSMUSG00000028991/ENSMUSG00000030560/ENSMUSG00000031990/ENSMUSG00000032554/ENSMUSG00000035413/ENSMUSG00000040936/ENSMUSG00000045382/ENSMUSG00000054252,13
d4,GO:1903201,regulation of oxidative stress-induced cell death,9/354,79/23062,3.42E-06,3.08E-05,1.49E-05,ENSMUSG00000004951/ENSMUSG00000006932/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000023992/ENSMUSG00000028964/ENSMUSG00000059552/ENSMUSG00000063856/ENSMUSG00000071866,9
d4,GO:0036473,cell death in response to oxidative stress,10/354,101/23062,3.56E-06,3.20E-05,1.55E-05,ENSMUSG00000004951/ENSMUSG00000006932/ENSMUSG00000021109/ENSMUSG00000022982/ENSMUSG00000023992/ENSMUSG00000028964/ENSMUSG00000057329/ENSMUSG00000059552/ENSMUSG00000063856/ENSMUSG00000071866,10
d4,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,10/354,101/23062,3.56E-06,3.20E-05,1.55E-05,ENSMUSG00000004951/ENSMUSG00000020484/ENSMUSG00000021109/ENSMUSG00000023010/ENSMUSG00000028466/ENSMUSG00000028964/ENSMUSG00000057329/ENSMUSG00000061353/ENSMUSG00000063856/ENSMUSG00000071866,10
d4,GO:2000516,"positive regulation of CD4-positive, alpha-beta T cell activation",7/354,43/23062,3.79E-06,3.40E-05,1.65E-05,ENSMUSG00000022488/ENSMUSG00000025383/ENSMUSG00000030748/ENSMUSG00000037706/ENSMUSG00000043505/ENSMUSG00000047139/ENSMUSG00000049103,7
d4,GO:0009408,response to heat,10/354,102/23062,3.90E-06,3.49E-05,1.69E-05,ENSMUSG00000004951/ENSMUSG00000005413/ENSMUSG00000016494/ENSMUSG00000020849/ENSMUSG00000021270/ENSMUSG00000022982/ENSMUSG00000028525/ENSMUSG00000028683/ENSMUSG00000028991/ENSMUSG00000029388,10
d4,GO:0150115,cell-substrate junction organization,10/354,102/23062,3.90E-06,3.49E-05,1.69E-05,ENSMUSG00000000957/ENSMUSG00000001847/ENSMUSG00000022425/ENSMUSG00000022548/ENSMUSG00000025223/ENSMUSG00000026193/ENSMUSG00000032011/ENSMUSG00000040249/ENSMUSG00000057329/ENSMUSG00000062825,10
d4,GO:0007272,ensheathment of neurons,13/354,178/23062,4.00E-06,3.56E-05,1.73E-05,ENSMUSG00000005125/ENSMUSG00000006932/ENSMUSG00000022982/ENSMUSG00000023915/ENSMUSG00000025949/ENSMUSG00000028991/ENSMUSG00000030560/ENSMUSG00000031990/ENSMUSG00000032554/ENSMUSG00000035413/ENSMUSG00000040936/ENSMUSG00000045382/ENSMUSG00000054252,13
d4,GO:0008366,axon ensheathment,13/354,178/23062,4.00E-06,3.56E-05,1.73E-05,ENSMUSG00000005125/ENSMUSG00000006932/ENSMUSG00000022982/ENSMUSG00000023915/ENSMUSG00000025949/ENSMUSG00000028991/ENSMUSG00000030560/ENSMUSG00000031990/ENSMUSG00000032554/ENSMUSG00000035413/ENSMUSG00000040936/ENSMUSG00000045382/ENSMUSG00000054252,13
d4,GO:0002444,myeloid leukocyte mediated immunity,11/354,126/23062,4.02E-06,3.57E-05,1.73E-05,ENSMUSG00000005103/ENSMUSG00000005413/ENSMUSG00000020681/ENSMUSG00000025867/ENSMUSG00000028874/ENSMUSG00000030347/ENSMUSG00000030748/ENSMUSG00000030805/ENSMUSG00000049103/ENSMUSG00000050732/ENSMUSG00000053158,11
d4,GO:0045807,positive regulation of endocytosis,11/354,126/23062,4.02E-06,3.57E-05,1.73E-05,ENSMUSG00000006611/ENSMUSG00000006699/ENSMUSG00000016024/ENSMUSG00000022488/ENSMUSG00000023992/ENSMUSG00000025809/ENSMUSG00000029106/ENSMUSG00000032554/ENSMUSG00000040249/ENSMUSG00000060802/ENSMUSG00000064210,11
d4,GO:0032535,regulation of cellular component size,20/354,398/23062,4.03E-06,3.57E-05,1.73E-05,ENSMUSG00000000861/ENSMUSG00000001847/ENSMUSG00000004655/ENSMUSG00000005103/ENSMUSG00000007815/ENSMUSG00000013236/ENSMUSG00000015766/ENSMUSG00000020717/ENSMUSG00000022488/ENSMUSG00000026193/ENSMUSG00000026879/ENSMUSG00000028991/ENSMUSG00000029106/ENSMUSG00000040249/ENSMUSG00000044456/ENSMUSG00000050310/ENSMUSG00000054342/ENSMUSG00000058587/ENSMUSG00000061353/ENSMUSG00000064210,20
d4,GO:0010876,lipid localization,22/354,469/23062,4.05E-06,3.58E-05,1.73E-05,ENSMUSG00000016024/ENSMUSG00000020681/ENSMUSG00000021025/ENSMUSG00000021486/ENSMUSG00000022548/ENSMUSG00000023992/ENSMUSG00000024990/ENSMUSG00000026321/ENSMUSG00000026385/ENSMUSG00000028455/ENSMUSG00000030105/ENSMUSG00000032369/ENSMUSG00000033124/ENSMUSG00000037486/ENSMUSG00000037936/ENSMUSG00000040249/ENSMUSG00000041324/ENSMUSG00000046402/ENSMUSG00000051314/ENSMUSG00000054342/ENSMUSG00000062515/ENSMUSG00000064210,22
d4,GO:0051962,positive regulation of nervous system development,19/354,365/23062,4.24E-06,3.74E-05,1.81E-05,ENSMUSG00000000861/ENSMUSG00000006932/ENSMUSG00000020152/ENSMUSG00000020681/ENSMUSG00000021109/ENSMUSG00000022425/ENSMUSG00000024927/ENSMUSG00000025809/ENSMUSG00000026193/ENSMUSG00000026728/ENSMUSG00000027358/ENSMUSG00000028399/ENSMUSG00000028991/ENSMUSG00000029648/ENSMUSG00000032554/ENSMUSG00000035027/ENSMUSG00000040249/ENSMUSG00000045382/ENSMUSG00000061353,19
d4,GO:0001938,positive regulation of endothelial cell proliferation,10/354,103/23062,4.26E-06,3.75E-05,1.81E-05,ENSMUSG00000004040/ENSMUSG00000005413/ENSMUSG00000006519/ENSMUSG00000021702/ENSMUSG00000027358/ENSMUSG00000028991/ENSMUSG00000050310/ENSMUSG00000052684/ENSMUSG00000054252/ENSMUSG00000061353,10
d4,GO:0070664,negative regulation of leukocyte proliferation,10/354,103/23062,4.26E-06,3.75E-05,1.81E-05,ENSMUSG00000004266/ENSMUSG00000020101/ENSMUSG00000020612/ENSMUSG00000022637/ENSMUSG00000023915/ENSMUSG00000036006/ENSMUSG00000036594/ENSMUSG00000042333/ENSMUSG00000047139/ENSMUSG00000060803,10
d4,GO:0045820,negative regulation of glycolytic process,5/354,17/23062,4.40E-06,3.86E-05,1.87E-05,ENSMUSG00000004040/ENSMUSG00000018501/ENSMUSG00000020108/ENSMUSG00000026313/ENSMUSG00000030717,5
d4,GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,5/354,17/23062,4.40E-06,3.86E-05,1.87E-05,ENSMUSG00000004951/ENSMUSG00000021109/ENSMUSG00000028964/ENSMUSG00000063856/ENSMUSG00000071866,5
d4,GO:0010592,positive regulation of lamellipodium assembly,6/354,29/23062,4.42E-06,3.86E-05,1.87E-05,ENSMUSG00000001847/ENSMUSG00000004655/ENSMUSG00000006699/ENSMUSG00000020152/ENSMUSG00000026313/ENSMUSG00000028991,6
d4,GO:0090023,positive regulation of neutrophil chemotaxis,6/354,29/23062,4.42E-06,3.86E-05,1.87E-05,ENSMUSG00000001847/ENSMUSG00000016024/ENSMUSG00000021702/ENSMUSG00000022488/ENSMUSG00000025383/ENSMUSG00000036006,6
d4,GO:0001782,B cell homeostasis,7/354,44/23062,4.45E-06,3.87E-05,1.88E-05,ENSMUSG00000003873/ENSMUSG00000021109/ENSMUSG00000022488/ENSMUSG00000028191/ENSMUSG00000038608/ENSMUSG00000057329/ENSMUSG00000075376,7
d4,GO:0010830,regulation of myotube differentiation,7/354,44/23062,4.45E-06,3.87E-05,1.88E-05,ENSMUSG00000000957/ENSMUSG00000020484/ENSMUSG00000026313/ENSMUSG00000028991/ENSMUSG00000030470/ENSMUSG00000057329/ENSMUSG00000063415,7
d4,GO:0031102,neuron projection regeneration,8/354,62/23062,4.68E-06,4.06E-05,1.97E-05,ENSMUSG00000013236/ENSMUSG00000028364/ENSMUSG00000031740/ENSMUSG00000032011/ENSMUSG00000035027/ENSMUSG00000040249/ENSMUSG00000052684/ENSMUSG00000057329,8
d4,GO:0001952,regulation of cell-matrix adhesion,11/354,128/23062,4.69E-06,4.06E-05,1.97E-05,ENSMUSG00000000957/ENSMUSG00000001847/ENSMUSG00000022425/ENSMUSG00000022505/ENSMUSG00000022548/ENSMUSG00000025223/ENSMUSG00000032011/ENSMUSG00000037966/ENSMUSG00000040249/ENSMUSG00000057329/ENSMUSG00000062825,11
d4,GO:0018958,phenol-containing compound metabolic process,11/354,128/23062,4.69E-06,4.06E-05,1.97E-05,ENSMUSG00000000326/ENSMUSG00000015619/ENSMUSG00000018160/ENSMUSG00000021477/ENSMUSG00000021764/ENSMUSG00000028111/ENSMUSG00000028964/ENSMUSG00000031696/ENSMUSG00000037580/ENSMUSG00000039239/ENSMUSG00000057329,11
d4,GO:0062012,regulation of small molecule metabolic process,19/354,368/23062,4.77E-06,4.13E-05,2.00E-05,ENSMUSG00000000326/ENSMUSG00000004040/ENSMUSG00000018501/ENSMUSG00000020108/ENSMUSG00000021109/ENSMUSG00000022708/ENSMUSG00000022982/ENSMUSG00000023992/ENSMUSG00000026313/ENSMUSG00000026385/ENSMUSG00000027358/ENSMUSG00000027613/ENSMUSG00000028163/ENSMUSG00000028964/ENSMUSG00000028991/ENSMUSG00000030717/ENSMUSG00000055024/ENSMUSG00000059552/ENSMUSG00000079562,19
d4,GO:0050817,coagulation,13/354,181/23062,4.81E-06,4.15E-05,2.01E-05,ENSMUSG00000001930/ENSMUSG00000004266/ENSMUSG00000005161/ENSMUSG00000010609/ENSMUSG00000016494/ENSMUSG00000023224/ENSMUSG00000026193/ENSMUSG00000032038/ENSMUSG00000038235/ENSMUSG00000056071/ENSMUSG00000064210/ENSMUSG00000071866/ENSMUSG00000109764,13
d4,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,9/354,83/23062,5.17E-06,4.46E-05,2.16E-05,ENSMUSG00000003873/ENSMUSG00000005413/ENSMUSG00000010609/ENSMUSG00000028964/ENSMUSG00000030805/ENSMUSG00000037613/ENSMUSG00000050335/ENSMUSG00000057329/ENSMUSG00000063856,9
d4,GO:0032653,regulation of interleukin-10 production,8/354,63/23062,5.29E-06,4.55E-05,2.20E-05,ENSMUSG00000004040/ENSMUSG00000016494/ENSMUSG00000020101/ENSMUSG00000023915/ENSMUSG00000023992/ENSMUSG00000025383/ENSMUSG00000035692/ENSMUSG00000055447,8
d4,GO:0002791,regulation of peptide secretion,15/354,241/23062,5.30E-06,4.55E-05,2.20E-05,ENSMUSG00000001847/ENSMUSG00000006611/ENSMUSG00000006740/ENSMUSG00000021109/ENSMUSG00000024913/ENSMUSG00000024990/ENSMUSG00000025701/ENSMUSG00000027204/ENSMUSG00000028029/ENSMUSG00000030805/ENSMUSG00000036504/ENSMUSG00000040249/ENSMUSG00000051314/ENSMUSG00000056054/ENSMUSG00000056071,15
d4,GO:0002793,positive regulation of peptide secretion,11/354,130/23062,5.45E-06,4.67E-05,2.26E-05,ENSMUSG00000001847/ENSMUSG00000006611/ENSMUSG00000006740/ENSMUSG00000021109/ENSMUSG00000024990/ENSMUSG00000028029/ENSMUSG00000030805/ENSMUSG00000036504/ENSMUSG00000040249/ENSMUSG00000056054/ENSMUSG00000056071,11
d4,GO:0022604,regulation of cell morphogenesis,18/354,338/23062,5.55E-06,4.75E-05,2.30E-05,ENSMUSG00000000861/ENSMUSG00000001847/ENSMUSG00000003283/ENSMUSG00000003814/ENSMUSG00000005103/ENSMUSG00000006699/ENSMUSG00000007815/ENSMUSG00000015766/ENSMUSG00000020152/ENSMUSG00000022425/ENSMUSG00000024621/ENSMUSG00000026193/ENSMUSG00000028399/ENSMUSG00000028874/ENSMUSG00000035373/ENSMUSG00000038235/ENSMUSG00000045382/ENSMUSG00000053158,18
d4,GO:0034103,regulation of tissue remodeling,9/354,84/23062,5.72E-06,4.88E-05,2.36E-05,ENSMUSG00000021702/ENSMUSG00000024621/ENSMUSG00000026321/ENSMUSG00000032554/ENSMUSG00000040249/ENSMUSG00000045092/ENSMUSG00000047139/ENSMUSG00000054252/ENSMUSG00000059552,9
d4,GO:0071560,cellular response to transforming growth factor beta stimulus,15/354,243/23062,5.85E-06,4.98E-05,2.41E-05,ENSMUSG00000004040/ENSMUSG00000020124/ENSMUSG00000020484/ENSMUSG00000024529/ENSMUSG00000026043/ENSMUSG00000026971/ENSMUSG00000027204/ENSMUSG00000027358/ENSMUSG00000029163/ENSMUSG00000029287/ENSMUSG00000039239/ENSMUSG00000040249/ENSMUSG00000052684/ENSMUSG00000055024/ENSMUSG00000059552,15
d4,GO:0090087,regulation of peptide transport,15/354,243/23062,5.85E-06,4.98E-05,2.41E-05,ENSMUSG00000001847/ENSMUSG00000006611/ENSMUSG00000006740/ENSMUSG00000021109/ENSMUSG00000024913/ENSMUSG00000024990/ENSMUSG00000025701/ENSMUSG00000027204/ENSMUSG00000028029/ENSMUSG00000030805/ENSMUSG00000036504/ENSMUSG00000040249/ENSMUSG00000051314/ENSMUSG00000056054/ENSMUSG00000056071,15
d4,GO:0051893,regulation of focal adhesion assembly,8/354,64/23062,5.96E-06,5.06E-05,2.45E-05,ENSMUSG00000000957/ENSMUSG00000001847/ENSMUSG00000022425/ENSMUSG00000022548/ENSMUSG00000025223/ENSMUSG00000032011/ENSMUSG00000040249/ENSMUSG00000062825,8
d4,GO:0090109,regulation of cell-substrate junction assembly,8/354,64/23062,5.96E-06,5.06E-05,2.45E-05,ENSMUSG00000000957/ENSMUSG00000001847/ENSMUSG00000022425/ENSMUSG00000022548/ENSMUSG00000025223/ENSMUSG00000032011/ENSMUSG00000040249/ENSMUSG00000062825,8
d4,GO:0032479,regulation of type I interferon production,10/354,107/23062,6.01E-06,5.08E-05,2.46E-05,ENSMUSG00000013236/ENSMUSG00000021270/ENSMUSG00000022708/ENSMUSG00000024404/ENSMUSG00000024844/ENSMUSG00000027843/ENSMUSG00000033107/ENSMUSG00000033124/ENSMUSG00000035692/ENSMUSG00000057666,10
d4,GO:0051702,biological process involved in interaction with symbiont,10/354,107/23062,6.01E-06,5.08E-05,2.46E-05,ENSMUSG00000000902/ENSMUSG00000015656/ENSMUSG00000024002/ENSMUSG00000024621/ENSMUSG00000026193/ENSMUSG00000032383/ENSMUSG00000052684/ENSMUSG00000055024/ENSMUSG00000057666/ENSMUSG00000063856,10
d4,GO:0046879,hormone secretion,19/354,374/23062,6.02E-06,5.08E-05,2.46E-05,ENSMUSG00000001847/ENSMUSG00000004655/ENSMUSG00000006611/ENSMUSG00000006740/ENSMUSG00000015619/ENSMUSG00000020149/ENSMUSG00000021109/ENSMUSG00000024913/ENSMUSG00000024990/ENSMUSG00000025701/ENSMUSG00000027204/ENSMUSG00000028029/ENSMUSG00000028964/ENSMUSG00000030805/ENSMUSG00000036504/ENSMUSG00000040249/ENSMUSG00000041324/ENSMUSG00000050732/ENSMUSG00000051314,19
d4,GO:0050862,positive regulation of T cell receptor signaling pathway,5/354,18/23062,6.02E-06,5.08E-05,2.46E-05,ENSMUSG00000024927/ENSMUSG00000028191/ENSMUSG00000030744/ENSMUSG00000037706/ENSMUSG00000054342,5
d4,GO:0043409,negative regulation of MAPK cascade,13/354,185/23062,6.11E-06,5.14E-05,2.49E-05,ENSMUSG00000004266/ENSMUSG00000018501/ENSMUSG00000020484/ENSMUSG00000023992/ENSMUSG00000024190/ENSMUSG00000027358/ENSMUSG00000027843/ENSMUSG00000029163/ENSMUSG00000031221/ENSMUSG00000039844/ENSMUSG00000060803/ENSMUSG00000071866/ENSMUSG00000109324,13
d4,GO:0045664,regulation of neuron differentiation,15/354,244/23062,6.15E-06,5.17E-05,2.50E-05,ENSMUSG00000000861/ENSMUSG00000001847/ENSMUSG00000003814/ENSMUSG00000007815/ENSMUSG00000018160/ENSMUSG00000025809/ENSMUSG00000027358/ENSMUSG00000028156/ENSMUSG00000028991/ENSMUSG00000045983/ENSMUSG00000047139/ENSMUSG00000054252/ENSMUSG00000057329/ENSMUSG00000060802/ENSMUSG00000061353,15
d4,GO:0043270,positive regulation of ion transport,18/354,342/23062,6.53E-06,5.47E-05,2.65E-05,ENSMUSG00000001175/ENSMUSG00000003873/ENSMUSG00000006740/ENSMUSG00000023992/ENSMUSG00000025701/ENSMUSG00000025809/ENSMUSG00000026321/ENSMUSG00000026385/ENSMUSG00000026822/ENSMUSG00000028466/ENSMUSG00000032011/ENSMUSG00000043505/ENSMUSG00000045382/ENSMUSG00000049103/ENSMUSG00000050335/ENSMUSG00000050732/ENSMUSG00000061353/ENSMUSG00000064210,18
d4,GO:0060561,apoptotic process involved in morphogenesis,6/354,31/23062,6.68E-06,5.58E-05,2.70E-05,ENSMUSG00000002799/ENSMUSG00000003873/ENSMUSG00000024913/ENSMUSG00000029287/ENSMUSG00000030341/ENSMUSG00000039239,6
d4,GO:0071624,positive regulation of granulocyte chemotaxis,6/354,31/23062,6.68E-06,5.58E-05,2.70E-05,ENSMUSG00000001847/ENSMUSG00000016024/ENSMUSG00000021702/ENSMUSG00000022488/ENSMUSG00000025383/ENSMUSG00000036006,6
d4,GO:0032613,interleukin-10 production,8/354,65/23062,6.71E-06,5.60E-05,2.71E-05,ENSMUSG00000004040/ENSMUSG00000016494/ENSMUSG00000020101/ENSMUSG00000023915/ENSMUSG00000023992/ENSMUSG00000025383/ENSMUSG00000035692/ENSMUSG00000055447,8
d4,GO:0002064,epithelial cell development,15/354,246/23062,6.79E-06,5.66E-05,2.74E-05,ENSMUSG00000001847/ENSMUSG00000013236/ENSMUSG00000020484/ENSMUSG00000020717/ENSMUSG00000021109/ENSMUSG00000026728/ENSMUSG00000028413/ENSMUSG00000029106/ENSMUSG00000030341/ENSMUSG00000038235/ENSMUSG00000039041/ENSMUSG00000039844/ENSMUSG00000045382/ENSMUSG00000054252/ENSMUSG00000063856,15
d4,GO:0048592,eye morphogenesis,13/354,187/23062,6.86E-06,5.71E-05,2.76E-05,ENSMUSG00000001751/ENSMUSG00000003873/ENSMUSG00000004040/ENSMUSG00000004655/ENSMUSG00000006932/ENSMUSG00000021109/ENSMUSG00000024913/ENSMUSG00000024990/ENSMUSG00000027997/ENSMUSG00000029648/ENSMUSG00000032011/ENSMUSG00000054252/ENSMUSG00000057329,13
d4,GO:0048041,focal adhesion assembly,9/354,86/23062,6.95E-06,5.76E-05,2.79E-05,ENSMUSG00000000957/ENSMUSG00000001847/ENSMUSG00000022425/ENSMUSG00000022548/ENSMUSG00000025223/ENSMUSG00000032011/ENSMUSG00000040249/ENSMUSG00000057329/ENSMUSG00000062825,9
