,Unnamed: 0,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,expandlist
63,64,d4,GO:0140318,protein transporter activity,8/1456,28/22537,0.0002881612366169,0.0061318030582438,0.0052482731956668,ENSMUSG00000030082/ENSMUSG00000021248/ENSMUSG00000031158/ENSMUSG00000022427/ENSMUSG00000013701/ENSMUSG00000093904/ENSMUSG00000078974/ENSMUSG00000002984,8,"['ENSMUSG00000030082', 'ENSMUSG00000021248', 'ENSMUSG00000031158', 'ENSMUSG00000022427', 'ENSMUSG00000013701', 'ENSMUSG00000093904', 'ENSMUSG00000078974', 'ENSMUSG00000002984']"
64,65,d4,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,9/1456,36/22537,0.0003662435938759,0.0076162020090118,0.0065187854986538,ENSMUSG00000024538/ENSMUSG00000001555/ENSMUSG00000002732/ENSMUSG00000003355/ENSMUSG00000024007/ENSMUSG00000032525/ENSMUSG00000026035/ENSMUSG00000029781/ENSMUSG00000032171,9,"['ENSMUSG00000024538', 'ENSMUSG00000001555', 'ENSMUSG00000002732', 'ENSMUSG00000003355', 'ENSMUSG00000024007', 'ENSMUSG00000032525', 'ENSMUSG00000026035', 'ENSMUSG00000029781', 'ENSMUSG00000032171']"
65,66,d4,GO:0050750,low-density lipoprotein particle receptor binding,8/1456,29/22537,0.0003755627380559,0.0076364423404706,0.0065361094061664,ENSMUSG00000022150/ENSMUSG00000039361/ENSMUSG00000051355/ENSMUSG00000038503/ENSMUSG00000029103/ENSMUSG00000022841/ENSMUSG00000047126/ENSMUSG00000028410,8,"['ENSMUSG00000022150', 'ENSMUSG00000039361', 'ENSMUSG00000051355', 'ENSMUSG00000038503', 'ENSMUSG00000029103', 'ENSMUSG00000022841', 'ENSMUSG00000047126', 'ENSMUSG00000028410']"
66,67,d4,GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors",11/1456,52/22537,0.0004068872516731,0.0080935181582819,0.0069273252916442,ENSMUSG00000033684/ENSMUSG00000024583/ENSMUSG00000025130/ENSMUSG00000020803/ENSMUSG00000028367/ENSMUSG00000025068/ENSMUSG00000034723/ENSMUSG00000020571/ENSMUSG00000005354/ENSMUSG00000021591/ENSMUSG00000031584,11,"['ENSMUSG00000033684', 'ENSMUSG00000024583', 'ENSMUSG00000025130', 'ENSMUSG00000020803', 'ENSMUSG00000028367', 'ENSMUSG00000025068', 'ENSMUSG00000034723', 'ENSMUSG00000020571', 'ENSMUSG00000005354', 'ENSMUSG00000021591', 'ENSMUSG00000031584']"
67,68,d4,GO:0140296,general transcription initiation factor binding,12/1456,61/22537,0.0004571669346751,0.00890016479208,0.0076177424277337,ENSMUSG00000021178/ENSMUSG00000024218/ENSMUSG00000022521/ENSMUSG00000033543/ENSMUSG00000015092/ENSMUSG00000020708/ENSMUSG00000039630/ENSMUSG00000053477/ENSMUSG00000028271/ENSMUSG00000042079/ENSMUSG00000028899/ENSMUSG00000049658,12,"['ENSMUSG00000021178', 'ENSMUSG00000024218', 'ENSMUSG00000022521', 'ENSMUSG00000033543', 'ENSMUSG00000015092', 'ENSMUSG00000020708', 'ENSMUSG00000039630', 'ENSMUSG00000053477', 'ENSMUSG00000028271', 'ENSMUSG00000042079', 'ENSMUSG00000028899', 'ENSMUSG00000049658']"
68,69,d4,GO:0044389,ubiquitin-like protein ligase binding,40/1456,356/22537,0.0004706838665411,0.0089724112059404,0.0076795788751449,ENSMUSG00000060073/ENSMUSG00000090137/ENSMUSG00000020265/ENSMUSG00000010376/ENSMUSG00000058558/ENSMUSG00000032010/ENSMUSG00000022365/ENSMUSG00000071415/ENSMUSG00000018567/ENSMUSG00000024121/ENSMUSG00000031812/ENSMUSG00000008348/ENSMUSG00000026701/ENSMUSG00000039615/ENSMUSG00000026229/ENSMUSG00000031950/ENSMUSG00000003031/ENSMUSG00000055839/ENSMUSG00000038965/ENSMUSG00000019505/ENSMUSG00000078676/ENSMUSG00000078578/ENSMUSG00000019188/ENSMUSG00000026864/ENSMUSG00000016308/ENSMUSG00000021589/ENSMUSG00000026718/ENSMUSG00000038545/ENSMUSG00000008859/ENSMUSG00000020738/ENSMUSG00000025793/ENSMUSG00000068039/ENSMUSG00000071655/ENSMUSG00000091896/ENSMUSG00000027602/ENSMUSG00000001415/ENSMUSG00000028410/ENSMUSG00000059291/ENSMUSG00000014402/ENSMUSG00000029521,40,"['ENSMUSG00000060073', 'ENSMUSG00000090137', 'ENSMUSG00000020265', 'ENSMUSG00000010376', 'ENSMUSG00000058558', 'ENSMUSG00000032010', 'ENSMUSG00000022365', 'ENSMUSG00000071415', 'ENSMUSG00000018567', 'ENSMUSG00000024121', 'ENSMUSG00000031812', 'ENSMUSG00000008348', 'ENSMUSG00000026701', 'ENSMUSG00000039615', 'ENSMUSG00000026229', 'ENSMUSG00000031950', 'ENSMUSG00000003031', 'ENSMUSG00000055839', 'ENSMUSG00000038965', 'ENSMUSG00000019505', 'ENSMUSG00000078676', 'ENSMUSG00000078578', 'ENSMUSG00000019188', 'ENSMUSG00000026864', 'ENSMUSG00000016308', 'ENSMUSG00000021589', 'ENSMUSG00000026718', 'ENSMUSG00000038545', 'ENSMUSG00000008859', 'ENSMUSG00000020738', 'ENSMUSG00000025793', 'ENSMUSG00000068039', 'ENSMUSG00000071655', 'ENSMUSG00000091896', 'ENSMUSG00000027602', 'ENSMUSG00000001415', 'ENSMUSG00000028410', 'ENSMUSG00000059291', 'ENSMUSG00000014402', 'ENSMUSG00000029521']"
69,70,d4,GO:0055106,ubiquitin-protein transferase regulator activity,8/1456,30/22537,0.0004833619710334,0.0090260449692976,0.0077254845638855,ENSMUSG00000058558/ENSMUSG00000071415/ENSMUSG00000063457/ENSMUSG00000003031/ENSMUSG00000038965/ENSMUSG00000028234/ENSMUSG00000061477/ENSMUSG00000059291,8,"['ENSMUSG00000058558', 'ENSMUSG00000071415', 'ENSMUSG00000063457', 'ENSMUSG00000003031', 'ENSMUSG00000038965', 'ENSMUSG00000028234', 'ENSMUSG00000061477', 'ENSMUSG00000059291']"
70,71,d4,GO:1901981,phosphatidylinositol phosphate binding,26/1456,200/22537,0.0005275590663992,0.0093967911430186,0.0080428100205992,ENSMUSG00000056201/ENSMUSG00000034160/ENSMUSG00000057113/ENSMUSG00000022150/ENSMUSG00000019804/ENSMUSG00000028249/ENSMUSG00000041801/ENSMUSG00000038775/ENSMUSG00000039361/ENSMUSG00000041895/ENSMUSG00000051355/ENSMUSG00000041444/ENSMUSG00000018001/ENSMUSG00000074513/ENSMUSG00000041341/ENSMUSG00000018293/ENSMUSG00000074170/ENSMUSG00000023277/ENSMUSG00000052374/ENSMUSG00000020709/ENSMUSG00000022451/ENSMUSG00000037646/ENSMUSG00000018417/ENSMUSG00000025173/ENSMUSG00000036435/ENSMUSG00000041695,26,"['ENSMUSG00000056201', 'ENSMUSG00000034160', 'ENSMUSG00000057113', 'ENSMUSG00000022150', 'ENSMUSG00000019804', 'ENSMUSG00000028249', 'ENSMUSG00000041801', 'ENSMUSG00000038775', 'ENSMUSG00000039361', 'ENSMUSG00000041895', 'ENSMUSG00000051355', 'ENSMUSG00000041444', 'ENSMUSG00000018001', 'ENSMUSG00000074513', 'ENSMUSG00000041341', 'ENSMUSG00000018293', 'ENSMUSG00000074170', 'ENSMUSG00000023277', 'ENSMUSG00000052374', 'ENSMUSG00000020709', 'ENSMUSG00000022451', 'ENSMUSG00000037646', 'ENSMUSG00000018417', 'ENSMUSG00000025173', 'ENSMUSG00000036435', 'ENSMUSG00000041695']"
71,72,d4,GO:0001098,basal transcription machinery binding,12/1456,62/22537,0.0005340252890021,0.0093967911430186,0.0080428100205992,ENSMUSG00000020485/ENSMUSG00000022521/ENSMUSG00000033543/ENSMUSG00000015092/ENSMUSG00000039630/ENSMUSG00000026603/ENSMUSG00000053477/ENSMUSG00000013822/ENSMUSG00000028271/ENSMUSG00000041057/ENSMUSG00000021807/ENSMUSG00000039849,12,"['ENSMUSG00000020485', 'ENSMUSG00000022521', 'ENSMUSG00000033543', 'ENSMUSG00000015092', 'ENSMUSG00000039630', 'ENSMUSG00000026603', 'ENSMUSG00000053477', 'ENSMUSG00000013822', 'ENSMUSG00000028271', 'ENSMUSG00000041057', 'ENSMUSG00000021807', 'ENSMUSG00000039849']"
72,73,d4,GO:0001099,basal RNA polymerase II transcription machinery binding,12/1456,62/22537,0.0005340252890021,0.0093967911430186,0.0080428100205992,ENSMUSG00000020485/ENSMUSG00000022521/ENSMUSG00000033543/ENSMUSG00000015092/ENSMUSG00000039630/ENSMUSG00000026603/ENSMUSG00000053477/ENSMUSG00000013822/ENSMUSG00000028271/ENSMUSG00000041057/ENSMUSG00000021807/ENSMUSG00000039849,12,"['ENSMUSG00000020485', 'ENSMUSG00000022521', 'ENSMUSG00000033543', 'ENSMUSG00000015092', 'ENSMUSG00000039630', 'ENSMUSG00000026603', 'ENSMUSG00000053477', 'ENSMUSG00000013822', 'ENSMUSG00000028271', 'ENSMUSG00000041057', 'ENSMUSG00000021807', 'ENSMUSG00000039849']"
73,74,d4,GO:0051020,GTPase binding,38/1456,336/22537,0.000567839425856,0.0098032655595899,0.0083907156472072,ENSMUSG00000021218/ENSMUSG00000038822/ENSMUSG00000029401/ENSMUSG00000020315/ENSMUSG00000063524/ENSMUSG00000066406/ENSMUSG00000033940/ENSMUSG00000005069/ENSMUSG00000026150/ENSMUSG00000001105/ENSMUSG00000039361/ENSMUSG00000040472/ENSMUSG00000028478/ENSMUSG00000024993/ENSMUSG00000020290/ENSMUSG00000034850/ENSMUSG00000017716/ENSMUSG00000000131/ENSMUSG00000030842/ENSMUSG00000079477/ENSMUSG00000000531/ENSMUSG00000021589/ENSMUSG00000057375/ENSMUSG00000029414/ENSMUSG00000033004/ENSMUSG00000044562/ENSMUSG00000024772/ENSMUSG00000025132/ENSMUSG00000028639/ENSMUSG00000026615/ENSMUSG00000030220/ENSMUSG00000018293/ENSMUSG00000026867/ENSMUSG00000008450/ENSMUSG00000014550/ENSMUSG00000036104/ENSMUSG00000032182/ENSMUSG00000026721,38,"['ENSMUSG00000021218', 'ENSMUSG00000038822', 'ENSMUSG00000029401', 'ENSMUSG00000020315', 'ENSMUSG00000063524', 'ENSMUSG00000066406', 'ENSMUSG00000033940', 'ENSMUSG00000005069', 'ENSMUSG00000026150', 'ENSMUSG00000001105', 'ENSMUSG00000039361', 'ENSMUSG00000040472', 'ENSMUSG00000028478', 'ENSMUSG00000024993', 'ENSMUSG00000020290', 'ENSMUSG00000034850', 'ENSMUSG00000017716', 'ENSMUSG00000000131', 'ENSMUSG00000030842', 'ENSMUSG00000079477', 'ENSMUSG00000000531', 'ENSMUSG00000021589', 'ENSMUSG00000057375', 'ENSMUSG00000029414', 'ENSMUSG00000033004', 'ENSMUSG00000044562', 'ENSMUSG00000024772', 'ENSMUSG00000025132', 'ENSMUSG00000028639', 'ENSMUSG00000026615', 'ENSMUSG00000030220', 'ENSMUSG00000018293', 'ENSMUSG00000026867', 'ENSMUSG00000008450', 'ENSMUSG00000014550', 'ENSMUSG00000036104', 'ENSMUSG00000032182', 'ENSMUSG00000026721']"
75,76,d4,GO:0044183,protein folding chaperone,11/1456,55/22537,0.0006745634636368,0.0110990205258788,0.0094997656269817,ENSMUSG00000026078/ENSMUSG00000001416/ENSMUSG00000026849/ENSMUSG00000007739/ENSMUSG00000029131/ENSMUSG00000026864/ENSMUSG00000030007/ENSMUSG00000068039/ENSMUSG00000015749/ENSMUSG00000006412/ENSMUSG00000027245,11,"['ENSMUSG00000026078', 'ENSMUSG00000001416', 'ENSMUSG00000026849', 'ENSMUSG00000007739', 'ENSMUSG00000029131', 'ENSMUSG00000026864', 'ENSMUSG00000030007', 'ENSMUSG00000068039', 'ENSMUSG00000015749', 'ENSMUSG00000006412', 'ENSMUSG00000027245']"
76,77,d4,GO:0008137,NADH dehydrogenase (ubiquinone) activity,6/1456,18/22537,0.0006798391343853,0.0110990205258788,0.0094997656269817,ENSMUSG00000025968/ENSMUSG00000033938/ENSMUSG00000059734/ENSMUSG00000026260/ENSMUSG00000037916/ENSMUSG00000020153,6,"['ENSMUSG00000025968', 'ENSMUSG00000033938', 'ENSMUSG00000059734', 'ENSMUSG00000026260', 'ENSMUSG00000037916', 'ENSMUSG00000020153']"
77,78,d4,GO:1902936,phosphatidylinositol bisphosphate binding,18/1456,120/22537,0.0006914143934154,0.0110990205258788,0.0094997656269817,ENSMUSG00000056201/ENSMUSG00000022150/ENSMUSG00000019804/ENSMUSG00000028249/ENSMUSG00000041801/ENSMUSG00000038775/ENSMUSG00000039361/ENSMUSG00000041895/ENSMUSG00000051355/ENSMUSG00000018293/ENSMUSG00000023277/ENSMUSG00000052374/ENSMUSG00000020709/ENSMUSG00000022451/ENSMUSG00000018417/ENSMUSG00000025173/ENSMUSG00000036435/ENSMUSG00000041695,18,"['ENSMUSG00000056201', 'ENSMUSG00000022150', 'ENSMUSG00000019804', 'ENSMUSG00000028249', 'ENSMUSG00000041801', 'ENSMUSG00000038775', 'ENSMUSG00000039361', 'ENSMUSG00000041895', 'ENSMUSG00000051355', 'ENSMUSG00000018293', 'ENSMUSG00000023277', 'ENSMUSG00000052374', 'ENSMUSG00000020709', 'ENSMUSG00000022451', 'ENSMUSG00000018417', 'ENSMUSG00000025173', 'ENSMUSG00000036435', 'ENSMUSG00000041695']"
78,79,d4,GO:0016859,cis-trans isomerase activity,9/1456,40/22537,0.0008422118887401,0.0132866185896082,0.0113721532708295,ENSMUSG00000024538/ENSMUSG00000001555/ENSMUSG00000002732/ENSMUSG00000003355/ENSMUSG00000024007/ENSMUSG00000032525/ENSMUSG00000026035/ENSMUSG00000029781/ENSMUSG00000032171,9,"['ENSMUSG00000024538', 'ENSMUSG00000001555', 'ENSMUSG00000002732', 'ENSMUSG00000003355', 'ENSMUSG00000024007', 'ENSMUSG00000032525', 'ENSMUSG00000026035', 'ENSMUSG00000029781', 'ENSMUSG00000032171']"
79,80,d4,GO:0050136,NADH dehydrogenase (quinone) activity,6/1456,19/22537,0.0009396255882325,0.014465249308132,0.0123809554043718,ENSMUSG00000025968/ENSMUSG00000033938/ENSMUSG00000059734/ENSMUSG00000026260/ENSMUSG00000037916/ENSMUSG00000020153,6,"['ENSMUSG00000025968', 'ENSMUSG00000033938', 'ENSMUSG00000059734', 'ENSMUSG00000026260', 'ENSMUSG00000037916', 'ENSMUSG00000020153']"
80,81,d4,GO:0015453,oxidoreduction-driven active transmembrane transporter activity,8/1456,33/22537,0.0009643499538754,0.014465249308132,0.0123809554043718,ENSMUSG00000025968/ENSMUSG00000022551/ENSMUSG00000000088/ENSMUSG00000033938/ENSMUSG00000059734/ENSMUSG00000026260/ENSMUSG00000037916/ENSMUSG00000020153,8,"['ENSMUSG00000025968', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000033938', 'ENSMUSG00000059734', 'ENSMUSG00000026260', 'ENSMUSG00000037916', 'ENSMUSG00000020153']"
81,82,d4,GO:0070325,lipoprotein particle receptor binding,8/1456,33/22537,0.0009643499538754,0.014465249308132,0.0123809554043718,ENSMUSG00000022150/ENSMUSG00000039361/ENSMUSG00000051355/ENSMUSG00000038503/ENSMUSG00000029103/ENSMUSG00000022841/ENSMUSG00000047126/ENSMUSG00000028410,8,"['ENSMUSG00000022150', 'ENSMUSG00000039361', 'ENSMUSG00000051355', 'ENSMUSG00000038503', 'ENSMUSG00000029103', 'ENSMUSG00000022841', 'ENSMUSG00000047126', 'ENSMUSG00000028410']"
82,83,d4,GO:0048027,mRNA 5'-UTR binding,7/1456,26/22537,0.0010242808655325,0.0149587569578988,0.0128033536688832,ENSMUSG00000058558/ENSMUSG00000020900/ENSMUSG00000061477/ENSMUSG00000042354/ENSMUSG00000090862/ENSMUSG00000005846/ENSMUSG00000028081,7,"['ENSMUSG00000058558', 'ENSMUSG00000020900', 'ENSMUSG00000061477', 'ENSMUSG00000042354', 'ENSMUSG00000090862', 'ENSMUSG00000005846', 'ENSMUSG00000028081']"
83,84,d4,GO:0005543,phospholipid binding,50/1456,492/22537,0.0010299472003799,0.0149587569578988,0.0128033536688832,ENSMUSG00000028007/ENSMUSG00000018340/ENSMUSG00000056201/ENSMUSG00000034160/ENSMUSG00000057113/ENSMUSG00000022150/ENSMUSG00000020315/ENSMUSG00000018567/ENSMUSG00000031812/ENSMUSG00000019804/ENSMUSG00000028249/ENSMUSG00000052727/ENSMUSG00000041801/ENSMUSG00000038775/ENSMUSG00000039361/ENSMUSG00000033916/ENSMUSG00000041895/ENSMUSG00000031950/ENSMUSG00000051355/ENSMUSG00000041444/ENSMUSG00000018001/ENSMUSG00000066306/ENSMUSG00000074513/ENSMUSG00000024851/ENSMUSG00000026718/ENSMUSG00000025915/ENSMUSG00000041341/ENSMUSG00000021411/ENSMUSG00000005656/ENSMUSG00000025793/ENSMUSG00000018293/ENSMUSG00000038383/ENSMUSG00000074170/ENSMUSG00000023277/ENSMUSG00000052374/ENSMUSG00000020709/ENSMUSG00000022451/ENSMUSG00000027602/ENSMUSG00000071654/ENSMUSG00000030605/ENSMUSG00000037646/ENSMUSG00000025366/ENSMUSG00000018417/ENSMUSG00000025173/ENSMUSG00000027712/ENSMUSG00000029994/ENSMUSG00000036435/ENSMUSG00000041695/ENSMUSG00000036452/ENSMUSG00000021771,50,"['ENSMUSG00000028007', 'ENSMUSG00000018340', 'ENSMUSG00000056201', 'ENSMUSG00000034160', 'ENSMUSG00000057113', 'ENSMUSG00000022150', 'ENSMUSG00000020315', 'ENSMUSG00000018567', 'ENSMUSG00000031812', 'ENSMUSG00000019804', 'ENSMUSG00000028249', 'ENSMUSG00000052727', 'ENSMUSG00000041801', 'ENSMUSG00000038775', 'ENSMUSG00000039361', 'ENSMUSG00000033916', 'ENSMUSG00000041895', 'ENSMUSG00000031950', 'ENSMUSG00000051355', 'ENSMUSG00000041444', 'ENSMUSG00000018001', 'ENSMUSG00000066306', 'ENSMUSG00000074513', 'ENSMUSG00000024851', 'ENSMUSG00000026718', 'ENSMUSG00000025915', 'ENSMUSG00000041341', 'ENSMUSG00000021411', 'ENSMUSG00000005656', 'ENSMUSG00000025793', 'ENSMUSG00000018293', 'ENSMUSG00000038383', 'ENSMUSG00000074170', 'ENSMUSG00000023277', 'ENSMUSG00000052374', 'ENSMUSG00000020709', 'ENSMUSG00000022451', 'ENSMUSG00000027602', 'ENSMUSG00000071654', 'ENSMUSG00000030605', 'ENSMUSG00000037646', 'ENSMUSG00000025366', 'ENSMUSG00000018417', 'ENSMUSG00000025173', 'ENSMUSG00000027712', 'ENSMUSG00000029994', 'ENSMUSG00000036435', 'ENSMUSG00000041695', 'ENSMUSG00000036452', 'ENSMUSG00000021771']"
84,85,d4,GO:0031625,ubiquitin protein ligase binding,37/1456,336/22537,0.0010887960417142,0.0155663809088828,0.0133234252472923,ENSMUSG00000060073/ENSMUSG00000090137/ENSMUSG00000010376/ENSMUSG00000058558/ENSMUSG00000032010/ENSMUSG00000022365/ENSMUSG00000071415/ENSMUSG00000018567/ENSMUSG00000024121/ENSMUSG00000031812/ENSMUSG00000008348/ENSMUSG00000026701/ENSMUSG00000039615/ENSMUSG00000026229/ENSMUSG00000031950/ENSMUSG00000003031/ENSMUSG00000055839/ENSMUSG00000038965/ENSMUSG00000019505/ENSMUSG00000078676/ENSMUSG00000078578/ENSMUSG00000019188/ENSMUSG00000026864/ENSMUSG00000016308/ENSMUSG00000021589/ENSMUSG00000038545/ENSMUSG00000008859/ENSMUSG00000020738/ENSMUSG00000068039/ENSMUSG00000071655/ENSMUSG00000091896/ENSMUSG00000027602/ENSMUSG00000001415/ENSMUSG00000028410/ENSMUSG00000059291/ENSMUSG00000014402/ENSMUSG00000029521,37,"['ENSMUSG00000060073', 'ENSMUSG00000090137', 'ENSMUSG00000010376', 'ENSMUSG00000058558', 'ENSMUSG00000032010', 'ENSMUSG00000022365', 'ENSMUSG00000071415', 'ENSMUSG00000018567', 'ENSMUSG00000024121', 'ENSMUSG00000031812', 'ENSMUSG00000008348', 'ENSMUSG00000026701', 'ENSMUSG00000039615', 'ENSMUSG00000026229', 'ENSMUSG00000031950', 'ENSMUSG00000003031', 'ENSMUSG00000055839', 'ENSMUSG00000038965', 'ENSMUSG00000019505', 'ENSMUSG00000078676', 'ENSMUSG00000078578', 'ENSMUSG00000019188', 'ENSMUSG00000026864', 'ENSMUSG00000016308', 'ENSMUSG00000021589', 'ENSMUSG00000038545', 'ENSMUSG00000008859', 'ENSMUSG00000020738', 'ENSMUSG00000068039', 'ENSMUSG00000071655', 'ENSMUSG00000091896', 'ENSMUSG00000027602', 'ENSMUSG00000001415', 'ENSMUSG00000028410', 'ENSMUSG00000059291', 'ENSMUSG00000014402', 'ENSMUSG00000029521']"
85,86,d4,GO:0005085,guanyl-nucleotide exchange factor activity,25/1456,201/22537,0.0012695345065961,0.0178711395928539,0.0152960918689483,ENSMUSG00000055762/ENSMUSG00000052921/ENSMUSG00000021990/ENSMUSG00000009621/ENSMUSG00000087260/ENSMUSG00000089809/ENSMUSG00000066406/ENSMUSG00000030824/ENSMUSG00000024993/ENSMUSG00000018001/ENSMUSG00000030842/ENSMUSG00000033004/ENSMUSG00000050552/ENSMUSG00000025967/ENSMUSG00000091512/ENSMUSG00000038831/ENSMUSG00000040940/ENSMUSG00000026867/ENSMUSG00000037509/ENSMUSG00000030839/ENSMUSG00000030659/ENSMUSG00000036104/ENSMUSG00000024663/ENSMUSG00000004562/ENSMUSG00000019467,25,"['ENSMUSG00000055762', 'ENSMUSG00000052921', 'ENSMUSG00000021990', 'ENSMUSG00000009621', 'ENSMUSG00000087260', 'ENSMUSG00000089809', 'ENSMUSG00000066406', 'ENSMUSG00000030824', 'ENSMUSG00000024993', 'ENSMUSG00000018001', 'ENSMUSG00000030842', 'ENSMUSG00000033004', 'ENSMUSG00000050552', 'ENSMUSG00000025967', 'ENSMUSG00000091512', 'ENSMUSG00000038831', 'ENSMUSG00000040940', 'ENSMUSG00000026867', 'ENSMUSG00000037509', 'ENSMUSG00000030839', 'ENSMUSG00000030659', 'ENSMUSG00000036104', 'ENSMUSG00000024663', 'ENSMUSG00000004562', 'ENSMUSG00000019467']"
86,87,d4,GO:0005525,GTP binding,39/1456,364/22537,0.0013565632073299,0.01867202639495,0.0159815791059451,ENSMUSG00000032562/ENSMUSG00000018340/ENSMUSG00000021282/ENSMUSG00000034789/ENSMUSG00000028057/ENSMUSG00000072235/ENSMUSG00000058672/ENSMUSG00000060904/ENSMUSG00000001833/ENSMUSG00000001473/ENSMUSG00000064262/ENSMUSG00000004771/ENSMUSG00000036752/ENSMUSG00000021877/ENSMUSG00000053291/ENSMUSG00000029430/ENSMUSG00000019917/ENSMUSG00000024870/ENSMUSG00000017686/ENSMUSG00000079477/ENSMUSG00000048076/ENSMUSG00000020088/ENSMUSG00000002233/ENSMUSG00000059248/ENSMUSG00000021589/ENSMUSG00000008859/ENSMUSG00000024772/ENSMUSG00000027293/ENSMUSG00000052681/ENSMUSG00000028945/ENSMUSG00000024065/ENSMUSG00000001783/ENSMUSG00000054364/ENSMUSG00000042354/ENSMUSG00000028214/ENSMUSG00000045136/ENSMUSG00000022621/ENSMUSG00000028443/ENSMUSG00000054435,39,"['ENSMUSG00000032562', 'ENSMUSG00000018340', 'ENSMUSG00000021282', 'ENSMUSG00000034789', 'ENSMUSG00000028057', 'ENSMUSG00000072235', 'ENSMUSG00000058672', 'ENSMUSG00000060904', 'ENSMUSG00000001833', 'ENSMUSG00000001473', 'ENSMUSG00000064262', 'ENSMUSG00000004771', 'ENSMUSG00000036752', 'ENSMUSG00000021877', 'ENSMUSG00000053291', 'ENSMUSG00000029430', 'ENSMUSG00000019917', 'ENSMUSG00000024870', 'ENSMUSG00000017686', 'ENSMUSG00000079477', 'ENSMUSG00000048076', 'ENSMUSG00000020088', 'ENSMUSG00000002233', 'ENSMUSG00000059248', 'ENSMUSG00000021589', 'ENSMUSG00000008859', 'ENSMUSG00000024772', 'ENSMUSG00000027293', 'ENSMUSG00000052681', 'ENSMUSG00000028945', 'ENSMUSG00000024065', 'ENSMUSG00000001783', 'ENSMUSG00000054364', 'ENSMUSG00000042354', 'ENSMUSG00000028214', 'ENSMUSG00000045136', 'ENSMUSG00000022621', 'ENSMUSG00000028443', 'ENSMUSG00000054435']"
88,89,d4,GO:0016887,ATP hydrolysis activity,32/1456,284/22537,0.0015760705581944,0.0212074200109987,0.0181516485340041,ENSMUSG00000021178/ENSMUSG00000030603/ENSMUSG00000001416/ENSMUSG00000022884/ENSMUSG00000078671/ENSMUSG00000022822/ENSMUSG00000024527/ENSMUSG00000039105/ENSMUSG00000028649/ENSMUSG00000026849/ENSMUSG00000002102/ENSMUSG00000020708/ENSMUSG00000030213/ENSMUSG00000007739/ENSMUSG00000021832/ENSMUSG00000026864/ENSMUSG00000052812/ENSMUSG00000030007/ENSMUSG00000021589/ENSMUSG00000003072/ENSMUSG00000030730/ENSMUSG00000029467/ENSMUSG00000025781/ENSMUSG00000052456/ENSMUSG00000068039/ENSMUSG00000027115/ENSMUSG00000055775/ENSMUSG00000019943/ENSMUSG00000053754/ENSMUSG00000025393/ENSMUSG00000026944/ENSMUSG00000022629,32,"['ENSMUSG00000021178', 'ENSMUSG00000030603', 'ENSMUSG00000001416', 'ENSMUSG00000022884', 'ENSMUSG00000078671', 'ENSMUSG00000022822', 'ENSMUSG00000024527', 'ENSMUSG00000039105', 'ENSMUSG00000028649', 'ENSMUSG00000026849', 'ENSMUSG00000002102', 'ENSMUSG00000020708', 'ENSMUSG00000030213', 'ENSMUSG00000007739', 'ENSMUSG00000021832', 'ENSMUSG00000026864', 'ENSMUSG00000052812', 'ENSMUSG00000030007', 'ENSMUSG00000021589', 'ENSMUSG00000003072', 'ENSMUSG00000030730', 'ENSMUSG00000029467', 'ENSMUSG00000025781', 'ENSMUSG00000052456', 'ENSMUSG00000068039', 'ENSMUSG00000027115', 'ENSMUSG00000055775', 'ENSMUSG00000019943', 'ENSMUSG00000053754', 'ENSMUSG00000025393', 'ENSMUSG00000026944', 'ENSMUSG00000022629']"
89,90,d4,GO:0003954,NADH dehydrogenase activity,6/1456,21/22537,0.0016809868784728,0.0220292328403737,0.0188550465726063,ENSMUSG00000025968/ENSMUSG00000033938/ENSMUSG00000059734/ENSMUSG00000026260/ENSMUSG00000037916/ENSMUSG00000020153,6,"['ENSMUSG00000025968', 'ENSMUSG00000033938', 'ENSMUSG00000059734', 'ENSMUSG00000026260', 'ENSMUSG00000037916', 'ENSMUSG00000020153']"
90,91,d4,GO:0003727,single-stranded RNA binding,15/1456,99/22537,0.0016852965014493,0.0220292328403737,0.0188550465726063,ENSMUSG00000022283/ENSMUSG00000068882/ENSMUSG00000024217/ENSMUSG00000025580/ENSMUSG00000030435/ENSMUSG00000045193/ENSMUSG00000030057/ENSMUSG00000037058/ENSMUSG00000026915/ENSMUSG00000039630/ENSMUSG00000029328/ENSMUSG00000061477/ENSMUSG00000071662/ENSMUSG00000042079/ENSMUSG00000021040,15,"['ENSMUSG00000022283', 'ENSMUSG00000068882', 'ENSMUSG00000024217', 'ENSMUSG00000025580', 'ENSMUSG00000030435', 'ENSMUSG00000045193', 'ENSMUSG00000030057', 'ENSMUSG00000037058', 'ENSMUSG00000026915', 'ENSMUSG00000039630', 'ENSMUSG00000029328', 'ENSMUSG00000061477', 'ENSMUSG00000071662', 'ENSMUSG00000042079', 'ENSMUSG00000021040']"
